Establishment_ID,Region,Size_Category,Screener_Employees,ISIC_Rev4_Code,ISIC_Division,Manufacturing_Subsector,Year_Started,Manager_Experience_Years,Survey_Weight_Median,Annual_Sales_2024_UGX,Annual_Sales_2022_UGX,Capacity_Utilization_Pct,Permanent_FT_Employees_2024,Permanent_FT_Employees_2022,Labor_Cost_2024_UGX,Raw_Materials_Cost_2024_UGX,Machinery_Replacement_Value_UGX,Direct_Exports_Pct,Monitors_Performance_Indicators,Introduced_New_Product_Service,Introduced_Improved_Process,Working_Capital_Internal_Pct,Working_Capital_Bank_Pct,Working_Capital_Supplier_Credit_Pct,Purchased_Fixed_Assets,Equipment_Investment_Raw_UGX,Has_Financial_Institution_Loan,Applied_For_Loan_2024,Experienced_Power_Outages,Power_Outages_Per_Month_Raw,Electricity_Obstacle,Access_to_Finance_Obstacle,Workforce_Skills_Obstacle,Informal_Competition_Obstacle,Biggest_Obstacle,Figures_Response_Quality,Establishment_Age_Years,Equipment_Investment_UGX,Power_Outages_Per_Month,Direct_Exporter,Sales_Growth_2022_2024_Pct,Sales_CAGR_2022_2024_Pct,Employment_Growth_2022_2024_Pct,Sales_per_Employee_UGX,Labor_Cost_Pct_of_Sales,Raw_Materials_Cost_Pct_of_Sales,Machinery_Value_per_Employee_UGX,Equipment_Investment_Pct_of_Sales,Sales_Outlier_Flag,Firm_Age_Band,Performance_Group
1614224,Eastern,Medium,14,3312,33,Repair and installation of machinery and equipment,2005,20,1.148,50000000,36000000,10.0,14,5,10000000,\N,40000000,0.0,Not asked (survey skip: screener employment <20),No,No,0.0,0.0,0.0,No,\N,No,No,Yes,2.0,Minor obstacle,Major obstacle,Minor obstacle,Minor obstacle,Access to finance,Are estimates computed with some precision,19,0,2,No,38.9,17.9,180.0,3571429,20.0,\N,2857143,0.0,Normal,10-19 years,Middle
1614225,Western,Small,6,1061,10,Manufacture of food products,2018,10,11.034,25000000,30000000,100.0,6,6,7200000,5000000,200000000,0.0,Not asked (survey skip: screener employment <20),No,No,80.0,0.0,0.0,No,\N,No,No,Yes,8.0,No obstacle,No obstacle,No obstacle,No obstacle,Tax rates,Are in some case taken from books and in some case estimates,6,0,8,No,-16.7,-8.7,0.0,4166667,28.8,20.0,33333333,0.0,Normal,<10 years,Low Growth
1614227,Western,Medium,15,2599,25,Manufacture of fabricated metal products,1997,30,5.288,50000000,100000000,55.0,7,6,11160000,7000000,7000000,0.0,Not asked (survey skip: screener employment <20),No,No,80.0,0.0,20.0,No,\N,No,No,Yes,7.0,Moderate obstacle,Minor obstacle,Minor obstacle,Minor obstacle,Access to land,Are estimates computed with some precision,27,0,7,No,-50.0,-29.3,16.7,7142857,22.3,14.0,1000000,0.0,Normal,20-29 years,Low Growth
1614229,Eastern,Small,10,1061,10,Manufacture of food products,2001,24,1.798,182500000,180000000,100.0,9,8,48000000,70000000,120000000,0.0,Not asked (survey skip: screener employment <20),No,No,70.0,0.0,0.0,No,\N,No,No,Yes,5.0,Moderate obstacle,Major obstacle,No obstacle,Moderate obstacle,Access to finance,Are taken directly from establishment records,23,0,5,No,1.4,0.7,12.5,20277778,26.3,38.4,13333333,0.0,Normal,20-29 years,Low Growth
1614230,Central,Small,8,1410,14,Manufacture of wearing apparel,2010,20,189.574,34000000,15000000,30.0,8,4,12000000,30000000,25000000,0.0,Not asked (survey skip: screener employment <20),No,No,50.0,0.0,20.0,Yes,550000,No,No,Yes,3.0,Moderate obstacle,Very severe obstacle,No obstacle,Very severe obstacle,Access to finance,Are estimates computed with some precision,14,550000,3,No,126.7,50.6,100.0,4250000,35.3,88.2,3125000,1.6,Normal,10-19 years,High Growth
1614231,Eastern,Medium,120,1071,10,Manufacture of food products,2002,20,1.357,700000000,600000000,70.0,128,128,460800000,300000000,1000000000,0.0,Yes,Yes,No,80.0,0.0,20.0,No,\N,No,No,Yes,2.0,Very severe obstacle,No obstacle,No obstacle,Very severe obstacle,Practices of competitors in the informal sector,Are taken directly from establishment records,22,0,2,No,16.7,8.0,0.0,5468750,65.8,42.9,7812500,0.0,Normal,20-29 years,Middle
1614236,Western,Small,7,2511,25,Manufacture of fabricated metal products,2012,10,68.626,30000000,25000000,75.0,6,3,12000000,12000000,15000000,0.0,Not asked (survey skip: screener employment <20),Yes,No,30.0,0.0,25.0,Yes,1500000,Yes,No,Yes,15.0,Major obstacle,Major obstacle,Major obstacle,Major obstacle,Tax rates,Are in some case taken from books and in some case estimates,12,1500000,15,No,20.0,9.5,100.0,5000000,40.0,40.0,2500000,5.0,Normal,10-19 years,Middle
1614238,Central,Large,800,1410,14,Manufacture of wearing apparel,2014,40,1.000,26310000000,22700000000,87.0,800,800,2000000000,1500000000,27000000000,15.0,Yes,Yes,Yes,80.0,0.0,0.0,No,\N,No,No,Yes,25.0,Moderate obstacle,Minor obstacle,Major obstacle,Major obstacle,Inadequately educated workforce,Are taken directly from establishment records,10,0,25,Yes,15.9,7.7,0.0,32887500,7.6,5.7,33750000,0.0,Review,10-19 years,Middle
1614246,Eastern,Small,15,3100,31,Manufacture of furniture,1986,15,61.414,45000000,33000000,70.0,10,10,15000000,20000000,100000000,0.0,Not asked (survey skip: screener employment <20),No,No,100.0,0.0,0.0,Yes,15000000,Yes,Yes,Yes,3.0,Major obstacle,Major obstacle,Moderate obstacle,Major obstacle,Electricity,Are in some case taken from books and in some case estimates,38,15000000,3,No,36.4,16.8,0.0,4500000,33.3,44.4,10000000,33.3,Normal,30+ years,Middle
1614254,Eastern,Small,7,1410,14,Manufacture of wearing apparel,1995,30,55.699,50000000,20000000,100.0,7,4,5000000,30000000,57000000,0.0,Not asked (survey skip: screener employment <20),No,No,70.0,0.0,0.0,No,\N,Yes,No,Yes,7.0,No obstacle,No obstacle,No obstacle,Moderate obstacle,Access to land,Are taken directly from establishment records,29,0,7,No,150.0,58.1,75.0,7142857,10.0,60.0,8142857,0.0,Normal,20-29 years,High Growth
1614255,Eastern,Medium,25,1520,15,Manufacture of leather and related products,2003,25,1.148,200000000,150000000,80.0,25,25,40000000,60000000,400000000,0.0,Yes,Yes,No,40.0,0.0,0.0,Yes,\N,Yes,Yes,Yes,2.0,Moderate obstacle,Major obstacle,No obstacle,Major obstacle,Access to finance,Are in some case taken from books and in some case estimates,21,0,2,No,33.3,15.5,0.0,8000000,20.0,30.0,16000000,0.0,Normal,20-29 years,Middle
1614256,Eastern,Large,262,2599,25,Manufacture of fabricated metal products,1983,1,1.000,18000000,4000000,80.0,262,262,\N,14000000,10000000,0.0,Yes,Yes,No,0.0,0.0,0.0,No,\N,No,No,Yes,10.0,Moderate obstacle,Moderate obstacle,No obstacle,Minor obstacle,Tax rates,Are in some case taken from books and in some case estimates,41,0,10,No,350.0,112.1,0.0,68702,\N,77.8,38168,0.0,Normal,30+ years,High Growth
1614258,Central,Medium,12,3220,32,Other manufacturing,2005,35,53.760,20000000,15000000,50.0,6,5,8000000,3000000,50000000,0.0,Not asked (survey skip: screener employment <20),No,Yes,90.0,0.0,0.0,No,\N,No,No,Yes,5.0,Moderate obstacle,Very severe obstacle,Minor obstacle,No obstacle,Access to finance,Are estimates computed with some precision,19,0,5,No,33.3,15.5,20.0,3333333,40.0,15.0,8333333,0.0,Normal,10-19 years,Middle
1614260,Eastern,Small,8,1622,16,Manufacture of wood and products of wood/cork,2012,20,72.492,40000000,30000000,40.0,8,8,19000000,15000000,10000000,0.0,Not asked (survey skip: screener employment <20),Yes,No,60.0,0.0,0.0,No,\N,Yes,Yes,Yes,10.0,Very severe obstacle,Moderate obstacle,Minor obstacle,Major obstacle,Electricity,Are in some case taken from books and in some case estimates,12,0,10,No,33.3,15.5,0.0,5000000,47.5,37.5,1250000,0.0,Normal,10-19 years,Middle
1614261,Eastern,Medium,6,1061,10,Manufacture of food products,2009,16,1.407,38000000,42000000,55.0,6,6,18000000,27000000,20000000,0.0,Not asked (survey skip: screener employment <20),No,No,80.0,0.0,0.0,No,\N,No,No,Yes,5.0,Major obstacle,Minor obstacle,No obstacle,Minor obstacle,Electricity,Are estimates computed with some precision,15,0,5,No,-9.5,-4.9,0.0,6333333,47.4,71.1,3333333,0.0,Normal,10-19 years,Low Growth
1614267,Northern,Medium,16,1040,10,Manufacture of food products,2015,10,24.621,120000000,100000000,80.0,16,5,50000000,60000000,150000000,0.0,Not asked (survey skip: screener employment <20),No,No,20.0,0.0,20.0,No,\N,No,No,Yes,1.0,Minor obstacle,Minor obstacle,Minor obstacle,Major obstacle,Tax rates,Are in some case taken from books and in some case estimates,9,0,1,No,20.0,9.5,220.0,7500000,41.7,50.0,9375000,0.0,Normal,<10 years,Middle
1614268,Central,Large,250,2392,23,Manufacture of other non-metallic mineral products,2000,30,1.000,8000000000,2000000000,80.0,350,150,500000000,2000000000,30000000000,0.0,Yes,Yes,No,50.0,0.0,50.0,No,\N,No,No,Yes,4.0,Minor obstacle,No obstacle,No obstacle,Major obstacle,Practices of competitors in the informal sector,Are in some case taken from books and in some case estimates,24,0,4,No,300.0,100.0,133.3,22857143,6.3,25.0,85714286,0.0,Review,20-29 years,High Growth
1614271,Northern,Small,40,1061,10,Manufacture of food products,2009,10,2.101,150000000,100000000,100.0,40,10,48000000,24000000,10000000,0.0,Yes,No,No,80.0,20.0,0.0,No,\N,Yes,Yes,Yes,2.0,Major obstacle,Major obstacle,Minor obstacle,Major obstacle,Electricity,Are estimates computed with some precision,15,0,2,No,50.0,22.5,300.0,3750000,32.0,16.0,250000,0.0,Normal,10-19 years,Middle
1614276,Eastern,Medium,30,1101,11,Manufacture of beverages,2004,8,1.349,1000000000,900000000,90.0,26,26,180000000,150000000,200000000,0.0,Yes,No,Yes,100.0,0.0,0.0,No,\N,No,No,Yes,12.0,Moderate obstacle,No obstacle,No obstacle,No obstacle,Electricity,Are taken directly from establishment records,20,0,12,No,11.1,5.4,0.0,38461538,18.0,15.0,7692308,0.0,Normal,20-29 years,Middle
1614277,Central,Medium,115,1410,14,Manufacture of wearing apparel,1991,35,42.940,2115600000,2227885000,100.0,115,35,170000000,1370000000,3000000000,0.0,Yes,Yes,No,50.0,0.0,0.0,No,\N,Yes,No,Yes,7.0,Major obstacle,Major obstacle,Minor obstacle,Minor obstacle,Access to finance,Are taken directly from establishment records,33,0,7,No,-5.0,-2.6,228.6,18396522,8.0,64.8,26086957,0.0,Normal,30+ years,Low Growth
1614280,Eastern,Medium,5,1061,10,Manufacture of food products,1987,25,1.407,42000000,38000000,42.0,5,5,18000000,23000000,15420000,0.0,Not asked (survey skip: screener employment <20),No,No,95.0,0.0,0.0,No,\N,No,No,Yes,5.0,Moderate obstacle,Very severe obstacle,Minor obstacle,Very severe obstacle,Access to finance,Are estimates computed with some precision,37,0,5,No,10.5,5.1,0.0,8400000,42.9,54.8,3084000,0.0,Normal,30+ years,Middle
1614283,Central,Large,200,1101,11,Manufacture of beverages,2000,25,1.000,700000000,650000000,90.0,180,50,200000000,400000000,1000000000,0.0,Yes,No,No,40.0,0.0,50.0,No,\N,No,No,No,\N,Minor obstacle,Minor obstacle,Minor obstacle,Minor obstacle,Access to land,Are in some case taken from books and in some case estimates,24,0,0,No,7.7,3.8,260.0,3888889,28.6,57.1,5555556,0.0,Normal,20-29 years,Low Growth
1614286,Central,Large,50,1101,11,Manufacture of beverages,2013,15,1.000,3000000000,1500000000,45.0,50,45,500000000,300000000,1000000000,25.0,No,No,No,80.0,0.0,0.0,No,\N,No,No,No,\N,No obstacle,No obstacle,No obstacle,Moderate obstacle,Tax administration,Are estimates computed with some precision,11,0,0,Yes,100.0,41.4,11.1,60000000,16.7,10.0,20000000,0.0,Normal,10-19 years,High Growth
1614289,Eastern,Medium,60,1079,10,Manufacture of food products,1954,10,1.357,6000000000,5000000000,100.0,45,42,420000000,500000000,1000000,80.0,Yes,No,No,60.0,0.0,10.0,No,\N,No,No,Yes,3.0,Major obstacle,Major obstacle,No obstacle,No obstacle,Access to finance,Are taken directly from establishment records,70,0,3,Yes,20.0,9.5,7.1,133333333,7.0,8.3,22222,0.0,Normal,30+ years,Middle
1614293,Western,Large,100,1079,10,Manufacture of food products,1994,5,1.309,36000000000,30000000000,100.0,100,90,3000000000,1000000000,2000000000,20.0,Yes,No,No,60.0,20.0,20.0,Yes,5000000000,Yes,No,Yes,5.0,Minor obstacle,Minor obstacle,Minor obstacle,No obstacle,Courts,Are in some case taken from books and in some case estimates,30,5000000000,5,Yes,20.0,9.5,11.1,360000000,8.3,2.8,20000000,13.9,Review,30+ years,Middle
1614300,Northern,Small,9,2511,25,Manufacture of fabricated metal products,2010,16,18.669,86500000,41300000,60.0,4,3,8530000,39540000,200570000,0.0,Not asked (survey skip: screener employment <20),No,No,70.0,0.0,10.0,No,\N,No,No,Yes,7.0,Moderate obstacle,Minor obstacle,No obstacle,No obstacle,Tax administration,Are estimates computed with some precision,14,0,7,No,109.4,44.7,33.3,21625000,9.9,45.7,50142500,0.0,Normal,10-19 years,High Growth
1614305,Central,Large,24,1071,10,Manufacture of food products,2008,\N,3.817,650000000,430000000,100.0,24,21,162500000,350000000,\N,0.0,No,No,No,70.0,0.0,30.0,No,\N,No,No,Yes,1.0,Minor obstacle,Minor obstacle,No obstacle,Moderate obstacle,Practices of competitors in the informal sector,Are in some case taken from books and in some case estimates,16,0,1,No,51.2,22.9,14.3,27083333,25.0,53.8,\N,0.0,Normal,10-19 years,Middle
1614307,Central,Medium,5,3312,33,Repair and installation of machinery and equipment,2002,40,416.639,600000000,700000000,70.0,4,6,50000000,200000000,500000000,0.0,Not asked (survey skip: screener employment <20),No,No,70.0,30.0,0.0,Yes,100000000,Yes,Yes,Yes,2.0,Minor obstacle,Minor obstacle,No obstacle,Minor obstacle,Practices of competitors in the informal sector,Are taken directly from establishment records,22,100000000,2,No,-14.3,-7.4,-33.3,150000000,8.3,33.3,125000000,16.7,Normal,20-29 years,Low Growth
1614309,Western,Small,9,1061,10,Manufacture of food products,2002,\N,11.034,48000000,\N,80.0,9,\N,24000000,10000000,50000000,0.0,Not asked (survey skip: screener employment <20),No,Yes,90.0,0.0,0.0,No,\N,No,No,Yes,2.0,Minor obstacle,Minor obstacle,Minor obstacle,Minor obstacle,Tax rates,Are estimates computed with some precision,22,0,2,No,\N,\N,\N,5333333,50.0,20.8,5555556,0.0,Normal,20-29 years,Missing
1614310,Eastern,Medium,80,1511,15,Manufacture of leather and related products,1995,20,1.290,5483616000,2000000000,30.0,200,150,300000000,500000000,300000000,100.0,No,No,No,0.0,0.0,0.0,No,\N,Yes,No,Yes,5.0,Major obstacle,Moderate obstacle,Major obstacle,Very severe obstacle,Corruption,Are in some case taken from books and in some case estimates,29,0,5,Yes,174.2,65.6,33.3,27418080,5.5,9.1,1500000,0.0,Normal,20-29 years,High Growth
1614312,Eastern,Small,13,1071,10,Manufacture of food products,2010,15,7.837,400000000,350000000,90.0,7,7,39000000,80000000,90000000,0.0,Not asked (survey skip: screener employment <20),Yes,No,80.0,0.0,0.0,No,\N,No,No,Yes,5.0,Major obstacle,Major obstacle,Moderate obstacle,Major obstacle,Electricity,Are taken directly from establishment records,14,0,5,No,14.3,6.9,0.0,57142857,9.8,20.0,12857143,0.0,Normal,10-19 years,Middle
1614314,Central,Small,6,2591,25,Manufacture of fabricated metal products,2004,21,157.867,10000000,4000000,100.0,6,8,4000000,\N,25000000,0.0,Not asked (survey skip: screener employment <20),Yes,Yes,68.0,0.0,0.0,Yes,15000000,No,Yes,Yes,8.0,Very severe obstacle,Major obstacle,Moderate obstacle,Moderate obstacle,Access to finance,Are taken directly from establishment records,20,15000000,8,No,150.0,58.1,-25.0,1666667,40.0,\N,4166667,150.0,Normal,20-29 years,High Growth
1614316,Western,Medium,20,1050,10,Manufacture of food products,2016,\N,1.524,\N,\N,80.0,15,\N,142800000,\N,500000000,0.0,Yes,Yes,Yes,100.0,0.0,0.0,Yes,6000000,No,No,Yes,4.0,Moderate obstacle,Minor obstacle,Minor obstacle,Major obstacle,Access to finance,Are estimates computed with some precision,8,6000000,4,No,\N,\N,\N,\N,\N,\N,33333333,\N,Normal,<10 years,Missing
1614317,Eastern,Small,7,1062,10,Manufacture of food products,2019,5,1.798,24000000,20000000,70.0,7,4,10000000,5000000,15000000,0.0,Not asked (survey skip: screener employment <20),No,No,30.0,70.0,0.0,No,\N,Yes,No,Yes,4.0,Major obstacle,Major obstacle,No obstacle,Major obstacle,Electricity,Are taken directly from establishment records,5,0,4,No,20.0,9.5,75.0,3428571,41.7,20.8,2142857,0.0,Normal,<10 years,Middle
1614319,Western,Medium,20,2022,20,Manufacture of chemicals and chemical products,2017,6,2.620,210000000,180000000,40.0,10,5,50000000,150000000,100000000,0.0,Yes,Yes,Yes,20.0,20.0,10.0,Yes,0,Yes,Yes,Yes,3.0,Moderate obstacle,Major obstacle,Moderate obstacle,Very severe obstacle,Practices of competitors in the informal sector,Are estimates computed with some precision,7,0,3,No,16.7,8.0,100.0,21000000,23.8,71.4,10000000,0.0,Normal,<10 years,Middle
1614321,Eastern,Medium,150,1061,10,Manufacture of food products,2005,20,1.610,15000000000,25000000000,50.0,100,150,300000000,11000000000,80000000,0.0,Yes,No,No,100.0,0.0,0.0,No,\N,Yes,No,Yes,1.0,No obstacle,Minor obstacle,No obstacle,Minor obstacle,Customs and trade regulations,Are in some case taken from books and in some case estimates,19,0,1,No,-40.0,-22.5,-33.3,150000000,2.0,73.3,800000,0.0,Review,10-19 years,Low Growth
1614322,Eastern,Large,350,2394,23,Manufacture of other non-metallic mineral products,2018,37,1.000,12000000000,10000000000,40.0,350,350,1000000000,2500000000,4000000000,0.0,Yes,No,No,100.0,0.0,0.0,No,\N,No,No,Yes,4.0,Major obstacle,Minor obstacle,No obstacle,No obstacle,Electricity,Are estimates computed with some precision,6,0,4,No,20.0,9.5,0.0,34285714,8.3,20.8,11428571,0.0,Review,<10 years,Middle
1614327,Central,Medium,10,1811,18,Printing and reproduction of recorded media,2000,20,48.350,30000000,8000000,89.0,8,2,15000000,6000000,50000000,0.0,Not asked (survey skip: screener employment <20),Yes,No,50.0,0.0,2.0,No,\N,No,No,No,\N,No obstacle,Minor obstacle,No obstacle,Minor obstacle,Corruption,Are in some case taken from books and in some case estimates,24,0,0,No,275.0,93.6,300.0,3750000,50.0,20.0,6250000,0.0,Normal,20-29 years,High Growth
1614329,Eastern,Medium,6,3100,31,Manufacture of furniture,2010,15,1.664,250000000,230000000,90.0,5,5,25200000,30000000,60000000,0.0,Not asked (survey skip: screener employment <20),No,No,90.0,0.0,0.0,No,\N,No,No,No,\N,Moderate obstacle,Moderate obstacle,No obstacle,Major obstacle,Practices of competitors in the informal sector,Are taken directly from establishment records,14,0,0,No,8.7,4.3,0.0,50000000,10.1,12.0,12000000,0.0,Normal,10-19 years,Middle
1614330,Western,Medium,11,2511,25,Manufacture of fabricated metal products,2007,18,2.620,650000000,470000000,90.0,7,7,85800000,50000000,70000000,0.0,Not asked (survey skip: screener employment <20),Yes,Yes,80.0,0.0,0.0,No,\N,No,No,Yes,4.0,Very severe obstacle,Major obstacle,Moderate obstacle,Moderate obstacle,Electricity,Are taken directly from establishment records,17,0,4,No,38.3,17.6,0.0,92857143,13.2,7.7,10000000,0.0,Normal,10-19 years,Middle
1614332,Central,Large,51,2720,27,Manufacture of electrical equipment,1967,28,1.575,500000000,300000000,95.0,51,15,150000000,250000000,700000000,0.0,Yes,No,No,50.0,0.0,35.0,No,\N,No,No,Yes,2.0,Minor obstacle,Minor obstacle,Minor obstacle,No obstacle,Tax rates,Are in some case taken from books and in some case estimates,57,0,2,No,66.7,29.1,240.0,9803922,30.0,50.0,13725490,0.0,Normal,30+ years,High Growth
1614337,Central,Large,1500,1410,14,Manufacture of wearing apparel,2015,8,1.575,32000000000,30000000000,76.0,1500,1350,300000000,21000000000,55000000000,30.0,Yes,Yes,No,40.0,20.0,10.0,No,\N,Yes,No,Yes,5.0,Very severe obstacle,Major obstacle,Minor obstacle,No obstacle,Electricity,Are in some case taken from books and in some case estimates,9,0,5,Yes,6.7,3.3,11.1,21333333,0.9,65.6,36666667,0.0,Review,<10 years,Low Growth
1614340,Eastern,Medium,40,1079,10,Manufacture of food products,1988,39,1.610,120000000,90000000,60.0,30,25,36000000,31000000,200000000,0.0,Yes,No,No,80.0,20.0,0.0,Yes,20000000,Yes,No,Yes,4.0,Very severe obstacle,Major obstacle,Minor obstacle,Major obstacle,Practices of competitors in the informal sector,Are taken directly from establishment records,36,20000000,4,No,33.3,15.5,20.0,4000000,30.0,25.8,6666667,16.7,Normal,30+ years,Middle
1614341,Central,Large,43,2220,22,Manufacture of rubber and plastics products,1997,27,1.575,650000000,450000000,95.0,35,20,25000000,300000000,180000000,20.0,Yes,No,Yes,60.0,40.0,0.0,Yes,180000000,Yes,No,Yes,9.0,No obstacle,No obstacle,No obstacle,Moderate obstacle,Tax administration,Are taken directly from establishment records,27,180000000,9,Yes,44.4,20.2,75.0,18571429,3.8,46.2,5142857,27.7,Normal,20-29 years,Middle
1614342,Western,Medium,150,1030,10,Manufacture of food products,2008,17,2.620,36000000000,35000000000,80.0,45,45,900000000,\N,\N,0.0,Yes,Yes,No,\N,\N,\N,No,\N,Yes,No,Yes,\N,No obstacle,\N,Minor obstacle,\N,Electricity,Are in some case taken from books and in some case estimates,16,0,0,No,2.9,1.4,0.0,800000000,2.5,\N,\N,0.0,Review,10-19 years,Low Growth
1614344,Central,Medium,15,1080,10,Manufacture of food products,2013,20,23.458,80000000,65000000,75.0,15,5,25000000,40000000,200000000,0.0,Not asked (survey skip: screener employment <20),No,No,70.0,0.0,30.0,No,\N,No,No,Yes,3.0,Minor obstacle,No obstacle,No obstacle,Minor obstacle,Tax rates,Are in some case taken from books and in some case estimates,11,0,3,No,23.1,10.9,200.0,5333333,31.3,50.0,13333333,0.0,Normal,10-19 years,Middle
1614346,Western,Large,520,1079,10,Manufacture of food products,1969,15,1.309,9400000000,21000000000,100.0,266,316,750000000,2600000000,15000000000,90.0,Yes,No,No,70.0,0.0,30.0,No,\N,Yes,No,Yes,8.0,Very severe obstacle,Major obstacle,Minor obstacle,\N,Electricity,Are taken directly from establishment records,55,0,8,Yes,-55.2,-33.1,-15.8,35338346,8.0,27.7,56390977,0.0,Review,30+ years,Low Growth
1614348,Western,Large,300,1050,10,Manufacture of food products,2014,26,1.262,82800000000,\N,25.0,20,20,\N,46800000000,50000000000,20.0,Yes,No,Yes,100.0,0.0,0.0,Yes,0,No,No,Yes,4.0,Minor obstacle,Minor obstacle,Moderate obstacle,\N,Tax rates,Are estimates computed with some precision,10,0,4,Yes,\N,\N,0.0,4140000000,\N,56.5,2500000000,0.0,Review,10-19 years,Missing
1614349,Eastern,Small,15,1629,16,Manufacture of wood and products of wood/cork,2017,17,68.514,6000000,2000000,40.0,15,9,3000000,4000000,28000000,0.0,Not asked (survey skip: screener employment <20),No,Yes,100.0,0.0,0.0,No,\N,No,No,Yes,10.0,Major obstacle,Moderate obstacle,No obstacle,Very severe obstacle,Electricity,Are in some case taken from books and in some case estimates,7,0,10,No,200.0,73.2,66.7,400000,50.0,66.7,1866667,0.0,Normal,<10 years,High Growth
1614352,Western,Medium,7,2511,25,Manufacture of fabricated metal products,2013,12,2.620,575000000,300000000,90.0,9,9,42000000,45000000,30000000,0.0,Not asked (survey skip: screener employment <20),Yes,No,70.0,0.0,0.0,No,\N,No,No,Yes,3.0,Very severe obstacle,Very severe obstacle,Moderate obstacle,Major obstacle,Electricity,Are taken directly from establishment records,11,0,3,No,91.7,38.4,0.0,63888889,7.3,7.8,3333333,0.0,Normal,10-19 years,High Growth
1614354,Eastern,Medium,140,2511,25,Manufacture of fabricated metal products,2010,25,1.664,900000000,1100000000,60.0,140,132,300000000,500000000,150000000,0.0,Yes,No,No,98.0,0.0,2.0,No,\N,No,No,Yes,8.0,Major obstacle,Moderate obstacle,No obstacle,Minor obstacle,Electricity,Are in some case taken from books and in some case estimates,14,0,8,No,-18.2,-9.5,6.1,6428571,33.3,55.6,1071429,0.0,Normal,10-19 years,Low Growth
1614355,Northern,Medium,15,2599,25,Manufacture of fabricated metal products,2013,12,2.643,2700000000,1300000000,60.0,15,15,500000000,800000000,3000000000,0.0,Not asked (survey skip: screener employment <20),No,No,95.0,0.0,0.0,No,\N,No,No,No,\N,Moderate obstacle,No obstacle,No obstacle,No obstacle,Electricity,Are in some case taken from books and in some case estimates,11,0,0,No,107.7,44.1,0.0,180000000,18.5,29.6,200000000,0.0,Normal,10-19 years,High Growth
1614359,Central,Medium,500,1072,10,Manufacture of food products,2012,20,23.458,1200000000,950000000,35.0,205,200,300000000,100000000,\N,0.0,Yes,Yes,No,90.0,5.0,0.0,No,\N,No,No,Yes,5.0,Moderate obstacle,Major obstacle,Minor obstacle,Minor obstacle,Access to finance,Are in some case taken from books and in some case estimates,12,0,5,No,26.3,12.4,2.5,5853659,25.0,8.3,\N,0.0,Normal,10-19 years,Middle
1614361,Northern,Large,450,1040,10,Manufacture of food products,2008,15,1.000,150000000000,120000000000,100.0,400,300,4300000000,10000000000,15000000000,15.0,Yes,Yes,No,10.0,60.0,30.0,No,\N,Yes,Yes,Yes,4.0,Moderate obstacle,Minor obstacle,Minor obstacle,Major obstacle,Access to land,Are in some case taken from books and in some case estimates,16,0,4,Yes,25.0,11.8,33.3,375000000,2.9,6.7,37500000,0.0,Review,10-19 years,Middle
1614365,Central,Large,272,1811,18,Printing and reproduction of recorded media,1986,18,2.079,100000000000,95000000000,100.0,222,230,9466088000,13462091000,23246174000,0.0,Yes,Yes,Yes,93.0,7.0,0.0,No,\N,No,Yes,Yes,2.0,No obstacle,No obstacle,No obstacle,Minor obstacle,Practices of competitors in the informal sector,Are taken directly from establishment records,38,0,2,No,5.3,2.6,-3.5,450450450,9.5,13.5,104712495,0.0,Review,30+ years,Low Growth
1614370,Northern,Small,17,2511,25,Manufacture of fabricated metal products,2019,7,18.669,280000000,270000000,50.0,17,17,58000000,85000000,1000000000,0.0,Not asked (survey skip: screener employment <20),No,No,100.0,0.0,0.0,No,\N,No,No,No,\N,No obstacle,No obstacle,No obstacle,No obstacle,Tax rates,Are in some case taken from books and in some case estimates,5,0,0,No,3.7,1.8,0.0,16470588,20.7,30.4,58823529,0.0,Normal,<10 years,Low Growth
1614372,Central,Large,200,2220,22,Manufacture of rubber and plastics products,1996,15,1.575,9600000000,8000000000,\N,200,150,500000000,250000000,1000000000,10.0,No,No,No,0.0,0.0,0.0,No,\N,No,No,No,\N,Minor obstacle,No obstacle,No obstacle,No obstacle,\N,Are estimates computed with some precision,28,0,0,Yes,20.0,9.5,33.3,48000000,5.2,2.6,5000000,0.0,Review,20-29 years,Middle
1614373,Eastern,Large,28,1079,10,Manufacture of food products,1997,35,1.000,10000000000,8500000000,20.0,28,14,500000000,3000000000,1550000000,100.0,Yes,No,No,60.0,0.0,0.0,Yes,1000000000,No,No,Yes,8.0,Minor obstacle,No obstacle,No obstacle,No obstacle,Customs and trade regulations,Are in some case taken from books and in some case estimates,27,1000000000,8,Yes,17.6,8.5,100.0,357142857,5.0,30.0,55357143,10.0,Review,20-29 years,Middle
1614376,Northern,Large,15,1061,10,Manufacture of food products,2009,13,1.000,450000000,450000000,45.0,15,10,45000000,50000000,1000000000,0.0,Not asked (survey skip: screener employment <20),No,No,100.0,0.0,0.0,No,\N,No,No,No,\N,Minor obstacle,No obstacle,No obstacle,Minor obstacle,Tax rates,Are estimates computed with some precision,15,0,0,No,0.0,0.0,50.0,30000000,10.0,11.1,66666667,0.0,Normal,10-19 years,Low Growth
