Establishment_ID,Region,Size_Category,Screener_Employees,ISIC_Rev4_Code,ISIC_Division,Manufacturing_Subsector,Year_Started,Manager_Experience_Years,Survey_Weight_Median,Annual_Sales_2024_UGX,Annual_Sales_2022_UGX,Capacity_Utilization_Pct,Permanent_FT_Employees_2024,Permanent_FT_Employees_2022,Labor_Cost_2024_UGX,Raw_Materials_Cost_2024_UGX,Machinery_Replacement_Value_UGX,Direct_Exports_Pct,Monitors_Performance_Indicators,Introduced_New_Product_Service,Introduced_Improved_Process,Working_Capital_Internal_Pct,Working_Capital_Bank_Pct,Working_Capital_Supplier_Credit_Pct,Purchased_Fixed_Assets,Equipment_Investment_Raw_UGX,Has_Financial_Institution_Loan,Applied_For_Loan_2024,Experienced_Power_Outages,Power_Outages_Per_Month_Raw,Electricity_Obstacle,Access_to_Finance_Obstacle,Workforce_Skills_Obstacle,Informal_Competition_Obstacle,Biggest_Obstacle,Figures_Response_Quality,Establishment_Age_Years,Equipment_Investment_UGX,Power_Outages_Per_Month,Direct_Exporter,Sales_Growth_2022_2024_Pct,Sales_CAGR_2022_2024_Pct,Employment_Growth_2022_2024_Pct,Sales_per_Employee_UGX,Labor_Cost_Pct_of_Sales,Raw_Materials_Cost_Pct_of_Sales,Machinery_Value_per_Employee_UGX,Equipment_Investment_Pct_of_Sales,Sales_Outlier_Flag,Firm_Age_Band,Performance_Group
1614146,Central,Small,80,2023,20,Manufacture of chemicals and chemical products,2005,20,585.955,2000000000,1000000000,70.0,80,40,200000000,800000000,700000000,30.0,Yes,Yes,Yes,40.0,5.0,0.0,Yes,80000000,Yes,No,Yes,4.0,Major obstacle,No obstacle,No obstacle,No obstacle,Tax rates,Are in some case taken from books and in some case estimates,19,80000000,4,Yes,100.0,41.4,100.0,25000000,10.0,40.0,8750000,4.0,Normal,10-19 years,High Growth
1614147,Eastern,Large,100,1079,10,Manufacture of food products,1982,43,1.000,3000000000,2500000000,30.0,35,35,300000000,900000000,600000000,10.0,Yes,No,Yes,100.0,0.0,0.0,No,\N,No,No,Yes,5.0,Major obstacle,Minor obstacle,Moderate obstacle,Very severe obstacle,Practices of competitors in the informal sector,Are in some case taken from books and in some case estimates,42,0,5,Yes,20.0,9.5,0.0,85714286,10.0,30.0,17142857,0.0,Normal,30+ years,Middle
1614149,Northern,Medium,10,1040,10,Manufacture of food products,2013,10,1.827,300000000,250000000,100.0,15,10,70000000,100000000,400000000,0.0,Not asked (survey skip: screener employment <20),No,No,40.0,0.0,40.0,No,\N,No,No,Yes,7.0,Moderate obstacle,Minor obstacle,No obstacle,Very severe obstacle,Practices of competitors in the informal sector,Are in some case taken from books and in some case estimates,11,0,7,No,20.0,9.5,50.0,20000000,23.3,33.3,26666667,0.0,Normal,10-19 years,Middle
1614151,Central,Large,355,1079,10,Manufacture of food products,1994,25,1.000,68000000000,67000000000,69.0,124,118,4140000000,37820000000,95000000000,1.0,Yes,Yes,No,100.0,0.0,0.0,No,\N,No,No,Yes,10.0,Very severe obstacle,Minor obstacle,Minor obstacle,Very severe obstacle,Electricity,Are in some case taken from books and in some case estimates,30,0,10,Yes,1.5,0.7,5.1,548387097,6.1,55.6,766129032,0.0,Review,30+ years,Low Growth
1614153,Eastern,Medium,8,3100,31,Manufacture of furniture,2021,5,3.069,60000000,30000000,70.0,8,8,20000000,35000000,\N,0.0,Not asked (survey skip: screener employment <20),No,No,30.0,25.0,20.0,No,\N,Yes,No,Yes,6.0,Minor obstacle,Major obstacle,No obstacle,Major obstacle,Tax rates,Are taken directly from establishment records,3,0,6,No,100.0,41.4,0.0,7500000,33.3,58.3,\N,0.0,Normal,<10 years,High Growth
1614155,Western,Medium,16,1410,14,Manufacture of wearing apparel,1990,35,2.464,57242000,35000000,13.0,6,6,18000000,22500000,26500000,0.0,Not asked (survey skip: screener employment <20),No,No,50.0,10.0,10.0,No,\N,Yes,Yes,Yes,0.0,Minor obstacle,Major obstacle,No obstacle,Minor obstacle,Access to finance,Are in some case taken from books and in some case estimates,34,0,0,No,63.5,27.9,0.0,9540333,31.4,39.3,4416667,0.0,Normal,30+ years,High Growth
1614157,Eastern,Small,7,1061,10,Manufacture of food products,2015,10,26.254,32000000,28000000,65.0,7,7,12000000,18000000,20000000,0.0,Not asked (survey skip: screener employment <20),No,No,80.0,0.0,0.0,No,\N,No,No,Yes,8.0,Moderate obstacle,Major obstacle,No obstacle,Major obstacle,Tax rates,Are estimates computed with some precision,9,0,8,No,14.3,6.9,0.0,4571429,37.5,56.3,2857143,0.0,Normal,<10 years,Middle
1614160,Western,Small,16,3100,31,Manufacture of furniture,2009,20,68.626,45000000,18000000,60.0,12,8,\N,30000000,50000000,0.0,Not asked (survey skip: screener employment <20),No,Yes,50.0,25.0,0.0,No,\N,Yes,Yes,Yes,30.0,Major obstacle,Moderate obstacle,Minor obstacle,Major obstacle,Electricity,Are estimates computed with some precision,15,0,30,No,150.0,58.1,50.0,3750000,\N,66.7,4166667,0.0,Normal,10-19 years,High Growth
1614161,Eastern,Small,7,1061,10,Manufacture of food products,2000,25,118.825,154000000,144000000,100.0,7,7,21600000,35000000,300000000,0.0,Not asked (survey skip: screener employment <20),No,No,70.0,0.0,0.0,No,\N,No,No,Yes,1.0,Moderate obstacle,Very severe obstacle,No obstacle,Major obstacle,Electricity,Are taken directly from establishment records,24,0,1,No,6.9,3.4,0.0,22000000,14.0,22.7,42857143,0.0,Normal,20-29 years,Low Growth
1614163,Northern,Small,30,1040,10,Manufacture of food products,1994,4,1.000,2165000000,1800000000,100.0,15,10,720000000,900000000,10000000000,0.0,Yes,Yes,No,0.0,0.0,30.0,Yes,100000000,No,No,Yes,3.0,Minor obstacle,No obstacle,No obstacle,Major obstacle,Access to land,Are taken directly from establishment records,30,100000000,3,No,20.3,9.7,50.0,144333333,33.3,41.6,666666667,4.6,Normal,30+ years,Middle
1614165,Eastern,Medium,13,1061,10,Manufacture of food products,2006,22,2.785,600000000,400000000,90.0,7,8,62400000,40000000,90000000,0.0,Not asked (survey skip: screener employment <20),Yes,No,100.0,0.0,0.0,No,\N,No,Yes,Yes,3.0,Major obstacle,Major obstacle,Minor obstacle,Moderate obstacle,Practices of competitors in the informal sector,Are taken directly from establishment records,18,0,3,No,50.0,22.5,-12.5,85714286,10.4,6.7,12857143,0.0,Normal,10-19 years,Middle
1614170,Central,Small,15,2511,25,Manufacture of fabricated metal products,2009,22,316.320,800000000,500000000,90.0,15,7,25000000,\N,\N,20.0,Not asked (survey skip: screener employment <20),Yes,No,60.0,20.0,0.0,No,\N,Yes,No,Yes,8.0,Minor obstacle,No obstacle,No obstacle,No obstacle,Corruption,Are in some case taken from books and in some case estimates,15,0,8,Yes,60.0,26.5,114.3,53333333,3.1,\N,\N,0.0,Normal,10-19 years,Middle
1614171,Eastern,Small,10,2511,25,Manufacture of fabricated metal products,2007,20,90.165,70000000,10000000,70.0,10,3,10000000,30000000,170000000,0.0,Not asked (survey skip: screener employment <20),No,No,90.0,0.0,0.0,No,\N,No,No,Yes,3.0,Moderate obstacle,No obstacle,No obstacle,No obstacle,Electricity,Are taken directly from establishment records,17,0,3,No,600.0,164.6,233.3,7000000,14.3,42.9,17000000,0.0,Normal,10-19 years,High Growth
1614174,Northern,Small,6,1811,18,Printing and reproduction of recorded media,1997,30,18.669,15000000,12000000,100.0,6,6,4000000,5000000,100000000,0.0,Not asked (survey skip: screener employment <20),No,No,50.0,50.0,0.0,No,\N,No,No,Yes,5.0,Major obstacle,Minor obstacle,Minor obstacle,Minor obstacle,Business licensing and permits,Are in some case taken from books and in some case estimates,27,0,5,No,25.0,11.8,0.0,2500000,26.7,33.3,16666667,0.0,Normal,20-29 years,Middle
1614175,Northern,Small,8,1811,18,Printing and reproduction of recorded media,2006,19,18.669,29430000,22570000,70.0,4,4,8046000,17000000,49570000,0.0,Not asked (survey skip: screener employment <20),No,No,60.0,0.0,10.0,Yes,2460000,No,No,Yes,6.0,Moderate obstacle,Minor obstacle,No obstacle,No obstacle,Tax rates,Are estimates computed with some precision,18,2460000,6,No,30.4,14.2,0.0,7357500,27.3,57.8,12392500,8.4,Normal,10-19 years,Middle
